Date,Day_of_Week,Meal_Type,Dish_Name,Is_Weekend,Is_Holiday,Is_Exam,Menu_Popularity,Quantity_Consumed
1/1/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,403
1/1/2024,0,Lunch,Rajma Rice,0,0,0,5,479
1/1/2024,0,Dinner,Aloo Gobhi,0,0,0,2,442
1/2/2024,1,Breakfast,Aloo Prantha,0,0,0,4,424
1/2/2024,1,Lunch,Black Channe Rice,0,0,0,3,462
1/2/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,450
1/3/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,397
1/3/2024,2,Lunch,Fried Rice,0,0,0,4,453
1/3/2024,2,Dinner,Paneer Bhurji,0,0,0,5,464
1/4/2024,3,Breakfast,Methi Prantha,0,0,0,2,368
1/4/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,427
1/4/2024,3,Dinner,Chana Masala,0,0,0,3,445
1/5/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,391
1/5/2024,4,Lunch,Channa Dal Rice,0,0,0,2,415
1/5/2024,4,Dinner,Cheese Chilli,0,0,0,5,482
1/6/2024,5,Breakfast,Aloo Prantha,1,1,0,4,165
1/6/2024,5,Lunch,Dal Makhni Rotti,1,1,0,4,214
1/6/2024,5,Dinner,Aloo Matar Gajar,1,1,0,2,171
1/7/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,341
1/7/2024,6,Lunch,Pudi White Channe,1,0,0,5,369
1/7/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,360
1/8/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,397
1/8/2024,0,Lunch,Rajma Rice,0,0,0,5,460
1/8/2024,0,Dinner,Aloo Gobhi,0,0,0,2,430
1/9/2024,1,Breakfast,Aloo Prantha,0,0,0,4,405
1/9/2024,1,Lunch,Black Channe Rice,0,0,0,3,439
1/9/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,449
1/10/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,404
1/10/2024,2,Lunch,Fried Rice,0,0,0,4,443
1/10/2024,2,Dinner,Paneer Bhurji,0,0,0,5,475
1/11/2024,3,Breakfast,Methi Prantha,0,0,0,2,378
1/11/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,458
1/11/2024,3,Dinner,Chana Masala,0,0,0,3,438
1/12/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,416
1/12/2024,4,Lunch,Channa Dal Rice,0,0,0,2,438
1/12/2024,4,Dinner,Cheese Chilli,0,0,0,5,482
1/13/2024,5,Breakfast,Aloo Prantha,1,0,0,4,305
1/13/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,375
1/13/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,339
1/14/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,317
1/14/2024,6,Lunch,Pudi White Channe,1,0,0,5,358
1/14/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,350
1/15/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,385
1/15/2024,0,Lunch,Rajma Rice,0,0,0,5,461
1/15/2024,0,Dinner,Aloo Gobhi,0,0,0,2,440
1/16/2024,1,Breakfast,Aloo Prantha,0,0,0,4,428
1/16/2024,1,Lunch,Black Channe Rice,0,0,0,3,437
1/16/2024,1,Dinner,Sarso Ka Saag,0,0,0,3,455
1/17/2024,2,Breakfast,Macaroni/Sandwich,0,0,0,4,425
1/17/2024,2,Lunch,Fried Rice,0,0,0,4,459
1/17/2024,2,Dinner,Paneer Bhurji,0,0,0,5,458
1/18/2024,3,Breakfast,Methi Prantha,0,0,0,2,360
1/18/2024,3,Lunch,Aloo Matar Rice,0,0,0,3,437
1/18/2024,3,Dinner,Chana Masala,0,0,0,3,446
1/19/2024,4,Breakfast,Bread Pakoda/Poha,0,0,0,4,411
1/19/2024,4,Lunch,Channa Dal Rice,0,0,0,2,437
1/19/2024,4,Dinner,Cheese Chilli,0,0,0,5,463
1/20/2024,5,Breakfast,Aloo Prantha,1,0,0,4,304
1/20/2024,5,Lunch,Dal Makhni Rotti,1,0,0,4,349
1/20/2024,5,Dinner,Aloo Matar Gajar,1,0,0,2,333
1/21/2024,6,Breakfast,Paneer Pyaaz Prantha,1,0,0,5,312
1/21/2024,6,Lunch,Pudi White Channe,1,0,0,5,378
1/21/2024,6,Dinner,Aloo Sabji Rice,1,0,0,3,340
1/22/2024,0,Breakfast,Gobhi Prantha,0,0,0,3,401
1/22/2024,0,Lunch,Rajma Rice,0,0,0,5,491
1/22/2024,0,Dinner,Aloo Gobhi,0,0,0,2,413
